,timestamp,alpha,beta,gamma,accX,accY,accZ,movement
119,1495525557132,0.053218929732900315,-0.3969592848956699,0.07649901102492933,0.022624250917903994,-0.6413366920569027,0.079432399198248,rotateclockwise
120,1495525557174,0.05977589740723581,-0.46184718742391845,0.028899603452083186,-0.025909642697294503,-0.6369271102897152,0.07472177203828323,rotateclockwise
121,1495525557225,0.047161757367992815,-0.46767764079382806,-0.019363219732780875,-0.06476409347981588,-0.6442707040630932,0.04073097679220737,rotateclockwise
122,1495525557275,0.022773986446174902,-0.4830742762121066,-0.0530612930663228,-0.09351680981270742,-0.6510185069100566,-0.002461386863537686,rotateclockwise
123,1495525557325,-0.0012510745331016225,-0.3587138716864201,-0.0680472090310162,-0.10269356596484151,-0.6578653996570679,-0.04718644147967402,rotateclockwise
124,1495525557375,-0.024964878602091147,-0.39061445552212076,-0.059620429591398114,-0.08792307398959448,-0.6540800277501895,-0.07904946203056877,rotateclockwise
125,1495525557424,-0.040114962392129715,-0.4090498429807613,-0.04049005453913153,-0.05227588563232414,-0.631186813441461,-0.08671615027440562,rotateclockwise
126,1495525557474,-0.04836019823156565,-0.39644390832073023,-0.01376138416207623,-0.012623481847974929,-0.6125136837281072,-0.08820873690085515,rotateclockwise
127,1495525557525,-0.047245442534765716,-0.41282545868805137,0.013054132907830383,0.02779748563665568,-0.5907655106829367,-0.06293214897015734,rotateclockwise
128,1495525557575,-0.03632053314101335,-0.37863588979668716,0.03156126562712443,0.05783870560515226,-0.5724087007659246,-0.0200368606119446,rotateclockwise
129,1495525557626,-0.01063706157917334,-0.315922826764378,0.03007651531175134,0.07703342647755623,-0.5725386243406038,0.025108822432271048,rotateclockwise
130,1495525557675,0.018509912557012807,-0.26921860213580806,0.013981514837668373,0.08399857218688966,-0.578900118708027,0.053471642355203304,rotateclockwise
131,1495525557724,0.04178671530465584,-0.34251645094385386,-0.015548173664839997,0.0688330365091322,-0.5845799092059918,0.07334270041216709,rotateclockwise
