timestamp,alpha,beta,gamma,accX,accY,accZ
1487690035512,89,14,0,-0.405670166015625,2.457763671875,8.163604736328125
1487690035562,89,12,2,0.0837249755859375,2.38677978515625,8.619827270507812
1487690035612,90,11,3,-1.4393310546875,2.3490447998046875,10.444549560546875
1487690035662,91,9,3,0.2674713134765625,1.2642974853515625,8.573043823242188
1487690035712,91,7,2,-0.9406280517578125,0.9323272705078125,12.888381958007812
1487690035762,91,7,1,-0.56951904296875,1.3675079345703125,17.802749633789062
1487690035812,93,11,0,0.557403564453125,0.5301513671875,18.736526489257812
1487690035862,93,20,-4,0.7476806640625,1.622894287109375,9.347000122070312
1487690035912,94,26,-6,-0.4031524658203125,3.0305938720703125,6.46771240234375
1487690035962,96,31,-8,1.5203704833984375,2.7400970458984375,3.0981597900390625
1487690036014,96,35,-10,0.8206329345703125,3.6576995849609375,1.58050537109375
1487690036063,96,36,-11,1.0596923828125,4.007293701171875,1.3579254150390625
1487690036114,96,35,-11,1.5114898681640625,4.2821502685546875,2.3795928955078125
1487690036162,95,33,-9,0.900390625,4.1776885986328125,3.7367706298828125
1487690036212,93,29,-6,0.2509765625,4.3542633056640625,8.066619873046875
1487690036262,93,23,-4,0.3990020751953125,2.93707275390625,9.118270874023438
1487690036313,93,20,-2,0.593841552734375,2.1188812255859375,10.603424072265625
1487690036362,92,15,0,-0.1237640380859375,2.112152099609375,9.97454833984375
1487690036413,92,11,3,-0.1084442138671875,1.57757568359375,13.334686279296875
1487690036462,91,8,4,-1.9603118896484375,2.664398193359375,16.829742431640625
1487690036515,91,8,4,-0.956634521484375,2.0097198486328125,15.930160522460938
1487690036562,92,11,4,-1.3039398193359375,1.711639404296875,15.035598754882812
1487690036614,92,17,1,0.6066741943359375,1.298431396484375,12.30474853515625
1487690036662,92,24,0,0.169281005859375,2.26422119140625,8.797607421875
1487690036712,92,29,-2,-0.4730072021484375,3.462982177734375,6.53466796875
1487690036762,93,33,-4,-0.103240966796875,3.927886962890625,3.5248260498046875
1487690036812,93,35,-5,0.5088043212890625,4.4790496826171875,3.4525146484375
1487690036862,94,36,-6,1.0034027099609375,4.7802581787109375,2.9192047119140625
1487690036913,93,36,-5,-0.2516021728515625,5.2700347900390625,3.25677490234375
1487690036962,93,33,-4,0.171722412109375,4.6489715576171875,5.82452392578125
1487690037012,93,30,-3,-0.0944976806640625,4.0065155029296875,7.1374664306640625
