,timestamp,alpha,beta,gamma,accX,accY,accZ,movement
16,1496234878656,0.9755050808592068,0.7273843578790112,0.9851558397810612,0.9583408695834422,0.6499432116583573,0.9672063977414037,rotateclockwise
17,1496234878704,0.9013407627045034,0.6471045194052724,0.9160275613151805,0.8688879283264181,0.5620335747609004,0.8623888429519079,rotateclockwise
18,1496234878754,0.6902668980708392,0.4864716952573199,0.7088699769844643,0.6448060353329664,0.41432158314757656,0.6281087423093689,rotateclockwise
19,1496234878804,0.37994680788927726,0.25020130883471553,0.3908448706442426,0.3229881693735649,0.24852135097215325,0.3142507347756464,rotateclockwise
20,1496234878854,0.01571180854188464,0.04629528578367587,0.019564982531840476,-0.033016597271039075,0.08110129773028145,-0.026347803262431378,rotateclockwise
21,1496234878904,-0.3453573321218541,-0.19083758858432948,-0.3542160100442946,-0.36559937377417506,-0.08910901642703843,-0.35587517684413994,rotateclockwise
22,1496234878954,-0.6539283955913074,-0.3589654756452198,-0.671030751316925,-0.6391990362987017,-0.283315300485473,-0.632780515678492,rotateclockwise
23,1496234879005,-0.864005673406113,-0.5228791386139464,-0.885624554159903,-0.8206217065723415,-0.41735015410287396,-0.8171630193378911,rotateclockwise
24,1496234879054,-0.9435097316410611,-0.5829179123588184,-0.9660046445467741,-0.8907966198887161,-0.4427540268695985,-0.8893925942762501,rotateclockwise
25,1496234879105,-0.884457541714439,-0.566364188016194,-0.8979401607172712,-0.8227491937213911,-0.3577544869263863,-0.8297817849083576,rotateclockwise
26,1496234879154,-0.6853607327173407,-0.38729268930683114,-0.696285817058004,-0.6421283316389397,-0.22591711131462303,-0.6451272024994544,rotateclockwise
27,1496234879206,-0.38436616252128314,-0.19383082480741037,-0.39126838875080044,-0.36352116172166854,-0.07345019309959352,-0.3579760550294175,rotateclockwise
28,1496234879254,-0.022698590154399758,0.03376164652058106,-0.023960140492479003,-0.027477003801060197,0.06757723350834079,-0.019830075963063194,rotateclockwise
29,1496234879304,0.34187215788093384,0.24933522848405584,0.34753860290043254,0.33162784189822136,0.22544860070364406,0.32722677447912984,rotateclockwise
30,1496234879354,0.6615630522558146,0.4450815644845223,0.6687114461411947,0.6503608313294258,0.4001307703109139,0.6436187751255901,rotateclockwise
31,1496234879404,0.8805495978386945,0.5818396996687892,0.8893755718592466,0.8755514355104105,0.5417306037203313,0.8680919427627074,rotateclockwise
32,1496234879455,0.9557274026865572,0.6066945931236958,0.9718505492419992,0.9500975457683177,0.5630901833677233,0.9434745363034303,rotateclockwise
