,timestamp,alpha,beta,gamma,accX,accY,accZ,movement
16,1496234842702,0.4565240620950628,0.41146246525855334,0.9562722786772628,0.9295590024682723,0.7525034392372614,0.5591170577775435,leftright
17,1496234842751,0.29523168884989,0.17976556733921126,0.8113026128266179,0.7775608764855634,0.48418973183435265,0.3888041830351454,leftright
18,1496234842801,0.08956847294765308,-0.009926480612557576,0.532594793646748,0.5013907560101236,0.057148444751124586,0.18073033515588377,leftright
19,1496234842852,-0.10667711462855246,-0.1266262665184067,0.17307647704371404,0.15460702368669307,-0.3023324434178661,-0.09694391559630215,leftright
20,1496234842901,-0.26821934146355214,-0.10660944389116893,-0.21003525704485684,-0.20865052389223893,-0.4019586791641829,-0.24675346438948084,leftright
21,1496234842951,-0.2683778613517471,-0.10316158855889275,-0.550961632284482,-0.5342045853352686,-0.2657292084051633,-0.32036105562639927,leftright
22,1496234843001,-0.2797417535825763,-0.023598742721551193,-0.8031067980944099,-0.7800440186729451,-0.028137301482383997,-0.32887612661973553,leftright
23,1496234843051,-0.23516666307398,-0.05228617656514975,-0.9304591311174342,-0.9064896861247296,0.14623914285476824,-0.2167083449625875,leftright
24,1496234843101,-0.18296137069205387,0.023829416145187538,-0.911231767383996,-0.8866370285642426,0.15439749242224565,-0.18727491587804776,leftright
25,1496234843152,-0.18009805546846117,-0.020711580671534193,-0.7495526166964408,-0.7251280127454599,-0.0031743918562811206,-0.20018315668427003,leftright
26,1496234843202,-0.16577570753400603,-0.06821672362096402,-0.46904652575289757,-0.4503539176965919,-0.2190620258169372,-0.16256379740799665,leftright
27,1496234843251,-0.07835994028770213,-0.14643264134034992,-0.11167409340867991,-0.10030160786469351,-0.34959031109353905,-0.14209494941609993,leftright
28,1496234843301,0.021433960813291467,-0.035586630280067755,0.26716698326940685,0.2667770113192502,-0.2431701064484102,0.010845635430550758,leftright
29,1496234843352,0.2050923686680728,0.016627640003445566,0.6054607490556525,0.5956130369521937,0.10459854274067625,0.1786998238762312,leftright
30,1496234843402,0.33359159172653796,0.14166518337649148,0.8440696186532355,0.8265288965326252,0.5158488599847594,0.36535353895608824,leftright
31,1496234843452,0.3423870323552123,0.20109647638633793,0.9454305971271783,0.9216084190565861,0.727336426107052,0.4655440559146244,leftright
