,timestamp,alpha,beta,gamma,accX,accY,accZ,movement
15,1496233966408,0.3975445863183118,0.1365567105444766,0.9466134824252326,0.9544931880793243,0.6107126844131177,0.3696460037884048,leftright
16,1496233966458,0.2980242603645472,0.18187738205654502,0.913051010392332,0.8963932748259096,0.5707996957829619,0.21203556439832255,leftright
17,1496233966508,0.12210860262937856,0.18572996552870777,0.7199755531983295,0.6853086367270127,0.40511886576675965,-0.12878813989771085,leftright
18,1496233966557,0.11361633274625568,0.1776978495108302,0.4093291670086615,0.3674326794286481,0.16325072358680132,-0.13790512290672535,leftright
19,1496233966607,0.06946507992787851,0.07208095735663152,0.03862668913886015,0.009767743542480606,-0.07491401089348142,-0.06874905088351935,leftright
20,1496233966658,-0.04100202888580822,-0.0669564342416025,-0.33426512771067224,-0.34680547595787903,-0.26250083950415753,-0.08820722720276959,leftright
21,1496233966708,-0.12094868784085712,-0.1449481968100881,-0.6521731289779038,-0.6539957714441665,-0.39757474242398666,-0.012187878490288425,leftright
22,1496233966758,-0.15679772206756357,-0.23267410856803084,-0.8637964998588328,-0.8593552493631735,-0.466691455972543,-0.04122099100770736,leftright
23,1496233966808,-0.1596125749807657,-0.1768608988633398,-0.9291141105361461,-0.9225960451574565,-0.47236674057390776,-0.06662664346743215,leftright
24,1496233966858,-0.14868927023673084,-0.3336840210470948,-0.8383338849171003,-0.8127746594711968,-0.400684644574892,0.09849060442095064,leftright
25,1496233966908,-0.072342388816633,-0.16552676354437207,-0.6078766037882495,-0.5715402740374838,-0.29257360921673586,0.08829553174961013,leftright
26,1496233966958,-0.06269710855903285,-0.27852152825952436,-0.28226066221253404,-0.24877942071836945,-0.14884579326053296,-0.0968335267587436,leftright
27,1496233967009,0.009165812721532173,-0.07649997708640285,0.08754280256654923,0.10313759429514364,0.024706523674630165,-0.06996688710121711,leftright
28,1496233967058,0.10493745579176023,-0.005333851915854671,0.4419335058023381,0.44489838979329266,0.23929228658166957,0.0014692685009472725,leftright
29,1496233967108,0.22878443926683079,0.09551244352560516,0.7260088179505743,0.7237980047814686,0.4663412905800708,0.13004901229265173,leftright
30,1496233967158,0.27682144796466956,0.046151878383859785,0.8936743574430664,0.8910791838704551,0.5946542574709476,0.14088274536593925,leftright
