,timestamp,alpha,beta,gamma,accX,accY,accZ,movement
15,1496246590189,0.9598652965712168,0.7687657042829021,0.9751424377381636,0.9693825082446454,0.6470264414783695,0.951707871561649,rotateclockwise
16,1496246590239,0.9170261579472053,0.7444589159553401,0.9369314686987265,0.9130387672313537,0.6373932826314356,0.9086697491942664,rotateclockwise
17,1496246590290,0.714087311785709,0.5707831575800653,0.7278056575146098,0.6702930725880144,0.48390295114352,0.686853379521432,rotateclockwise
18,1496246590339,0.38931455696836764,0.32968550203745306,0.3954401540402531,0.32053457228403703,0.24555321804704008,0.34253882898879007,rotateclockwise
19,1496246590389,0.011166408203403883,0.06772675900436537,0.012298916646422098,-0.05290845239913428,-0.01010586198660445,-0.034555292551907604,rotateclockwise
20,1496246590439,-0.3570899219423546,-0.16744458129751327,-0.35296937527545474,-0.3895514265587779,-0.24270934414539125,-0.3725774344401015,rotateclockwise
21,1496246590489,-0.6590848085397645,-0.3885649871423137,-0.6439037734783457,-0.6420657826024417,-0.4069849976382185,-0.6400791422495011,rotateclockwise
22,1496246590540,-0.8546882338253047,-0.5765903676008121,-0.8276739555778255,-0.7857785774026358,-0.5127634798029052,-0.8013771601185659,rotateclockwise
23,1496246590589,-0.9153870245511811,-0.6805961784308443,-0.8882777100090682,-0.8205884145276607,-0.5580215316235618,-0.8468789646127872,rotateclockwise
24,1496246590639,-0.8320266218415604,-0.6906852613354598,-0.819182902983152,-0.7477282105885706,-0.5399677839504142,-0.7702990296800046,rotateclockwise
25,1496246590690,-0.6171551052516562,-0.5774106949543983,-0.6272906379683127,-0.5730399356071445,-0.4563153657051603,-0.5854434304706454,rotateclockwise
26,1496246590740,-0.30005599703217295,-0.3875114545296839,-0.3294043461520277,-0.3011175134197282,-0.28234976289257685,-0.30174578347625386,rotateclockwise
27,1496246590790,0.07652504454517788,-0.1268557642744714,0.03805796314368228,0.04179280399020868,-0.039676728939491396,0.04443723012977656,rotateclockwise
28,1496246590840,0.454069023719647,0.18550832204240894,0.4182180221487836,0.4126184538200505,0.23179303760263298,0.41840986315798995,rotateclockwise
29,1496246590890,0.7630739549160407,0.49551038749027587,0.7413688030193728,0.7388156675708665,0.5043154360135383,0.7480514412396593,rotateclockwise
30,1496246590939,0.9416630865113585,0.7302516572995136,0.9380050447587827,0.9397639597915789,0.6934747380737792,0.9399875699948677,rotateclockwise
