,timestamp,alpha,beta,gamma,accX,accY,accZ,movement
178,1488983709470,0.07176274493708813,-0.21049953993248982,0.8324931306128518,0.981382842999559,1.2335624001874195,0.20299169956237342,leftright
179,1488983709520,-0.04431469702906817,-0.1342781896554572,0.8639727073981938,0.9658025795999573,1.3025039620179255,0.027904393906441213,leftright
180,1488983709569,-0.14922753308154252,-0.3737967473366896,0.7895057992144217,0.8016132880241243,1.0061644976656516,-0.136089388884627,leftright
181,1488983709620,-0.21546323384672011,-0.5500664416360905,0.6242837873700336,0.5361000648667268,0.5471951881207345,-0.10876262029826209,leftright
182,1488983709670,0.014221611563807765,-0.32447458931218526,0.4014926281255305,0.216824734131505,0.07334204562047454,-0.1272807147413855,leftright
183,1488983709719,0.01653541590012214,-0.13476164568510227,0.13697745253594723,-0.12777431014383858,-0.17356388117349894,0.09063162753691335,leftright
184,1488983709770,0.23216416233757303,0.5041829583031823,-0.13624810111931784,-0.4535046112545566,-0.3606968718035851,0.05597992421834178,leftright
185,1488983709820,0.11751802152582452,0.5982805878174094,-0.38353980897927364,-0.7183113954989974,-0.5258711436425234,0.26661992235681936,leftright
186,1488983709870,-0.04407132915714292,0.5401783385685619,-0.5734428342563617,-0.8884991999237312,-0.6861147477157373,0.1541237185519506,leftright
187,1488983709919,-0.15262951549612883,0.27322042708423394,-0.6621341176829616,-0.8904078244865872,-0.6801601607191666,0.01673755106658043,leftright
188,1488983709969,-0.3775210838845381,0.021341285672784874,-0.6709360518832606,-0.738608452383223,-0.5444503674153668,-0.35840323676681685,leftright
189,1488983710020,-0.17495569761647609,-0.12761258486281518,-0.6217333891425868,-0.5051023001712481,-0.3220448457889617,-0.3831322980289704,leftright
190,1488983710070,0.09052915274598848,-0.2209619402296385,-0.528810430679598,-0.23583140298250468,-0.16912461836098033,0.2666556428174645,leftright
191,1488983710120,0.10299109352156104,-0.3794134674977246,-0.41841709210557754,0.03943831949096675,-0.24187006287652452,-0.09677729450782052,leftright
192,1488983710170,0.3517072850390813,-0.5779509608400637,-0.2842732520857189,0.2915255324120948,-0.35856957977496895,0.01855078902135154,leftright
193,1488983710220,0.343431578842125,-0.5311214500716009,-0.14896534709067902,0.5429392220293738,-0.1322375024709902,0.14668053329129488,leftright
194,1488983710270,0.646086683036358,-0.013980822530561076,-0.03582827874732278,0.7439997788877101,0.7382056220515881,0.6063296706726794,leftright
195,1488983710320,-0.45572909637095227,0.34067303050772585,0.02353555683730559,0.8108736453206238,1.908335709538031,0.01446931224691026,leftright
196,1488983710370,-0.08715307410719793,0.7461088553675155,0.018000244129272057,0.7090808180787098,3.0324597116765135,-1.1362317594191442,leftright
