,timestamp,alpha,beta,gamma,accX,accY,accZ,movement
17,1495525145404,0.419513215498972,0.5033326985876555,0.7258521924667277,0.7754706397826541,0.08661066428153766,0.3178474396033273,leftright
18,1495525145454,0.4061729234887223,0.5101439920357761,0.6868190610027985,0.6999812611332776,0.06573421073675052,0.2598992967639314,leftright
19,1495525145504,0.19276330807186617,0.40295215194349693,0.554303534367255,0.5243477495428623,-0.03835681267026576,0.043181339827489826,leftright
20,1495525145554,-0.013655833217925517,0.23595777551007563,0.35340075930067383,0.2989865084217354,-0.15873054281145402,-0.07842515938451813,leftright
21,1495525145604,-0.139799831860146,0.06182518159999009,0.11236482274520782,0.050981460510991006,-0.2312763430548065,-0.15086905605300122,leftright
22,1495525145654,-0.22386647913333665,-0.10241198829843202,-0.14048549144407968,-0.20587916719029073,-0.2773763480358198,-0.07624568555513783,leftright
23,1495525145704,-0.16037143577338064,-0.25486524505440067,-0.3722297106020754,-0.4354564494668739,-0.3012223366461985,0.020638293296655744,leftright
24,1495525145754,-0.11861703910719261,-0.41272105413196747,-0.546424189693838,-0.6032304891190331,-0.30453754897079144,0.011659416821181065,leftright
25,1495525145804,-0.028388733739434794,-0.4937658614901822,-0.6370103630937329,-0.6777738613431247,-0.273740973462363,-0.011039759176377503,leftright
26,1495525145854,-0.05230314443229984,-0.48673677383539615,-0.6320300775343723,-0.6562635105785678,-0.2350584563799771,-0.044512799669501446,leftright
27,1495525145904,-0.07942145559070325,-0.4649123512191668,-0.5392691568446866,-0.5396798579716136,-0.21584383441619237,-0.15821135567310526,leftright
28,1495525145954,-0.1239547045552322,-0.33638657425712504,-0.370809823604646,-0.35613407724290563,-0.23084863506434886,-0.1760162538950004,leftright
29,1495525146004,-0.21087175503765535,-0.1820088641439219,-0.15547755558727627,-0.12786567615100058,-0.2439370407347328,-0.15714368140037968,leftright
30,1495525146054,-0.1231911794611543,0.0057640557342247,0.08030031115003769,0.12512793896392718,-0.23576502975396937,-0.07748540080095526,leftright
31,1495525146104,-0.007949369614450523,0.2213168261065329,0.30420621756921495,0.36553431541060627,-0.19130455656767742,0.070801225403637,leftright
32,1495525146155,0.1094402221131311,0.33879234349012266,0.4802516350921756,0.5518605436680158,-0.134389455140828,0.08317767899429417,leftright
33,1495525146204,0.18193695127080609,0.4337659080587422,0.5826676786646062,0.6454304337060511,-0.08971880827728977,0.13887755046623884,leftright
34,1495525146254,0.27356523751762163,0.4799631249738368,0.5982651100344443,0.6407001294956037,-0.06103557343037999,0.11115744590415524,leftright
