,timestamp,alpha,beta,gamma,accX,accY,accZ,movement
18,1488983701469,0.24507366370234476,0.31934569098087795,0.9614549420641231,0.9561876920282033,0.8131334429215596,0.23769894928543198,leftright
19,1488983701519,0.10156742267634658,0.1792743157641242,0.8854448139823505,0.8681727761854662,0.6616393982205383,0.09841767686738936,leftright
20,1488983701569,0.10520690994440596,0.16183256614653366,0.6999361255191823,0.6710831068234134,0.35996560064885635,0.06523104468969959,leftright
21,1488983701619,0.04258910818041632,0.052842469181112565,0.43308671560653716,0.3982489194346933,0.039048543483739956,0.02536719630798824,leftright
22,1488983701670,-0.030504256708612596,-0.06356851638712213,0.11992660860673593,0.09187332437032225,-0.1898733790832231,-0.011724468094448928,leftright
23,1488983701719,-0.03157898131489171,-0.13389262003163985,-0.20622483711284523,-0.21886169236284406,-0.30489812125683524,-0.03026380882671187,leftright
24,1488983701769,-0.1866211989637994,-0.2470148058237409,-0.5094791204844373,-0.5130303331254735,-0.35266236463685324,-0.07227928268931996,leftright
25,1488983701819,-0.19304327401508978,-0.3099069853371416,-0.7534252604507223,-0.754085193490435,-0.3660176280419974,-0.17238600356314654,leftright
26,1488983701870,-0.15993420220134577,-0.26798506103023734,-0.9063299875648516,-0.9035906752550904,-0.35642850169182605,-0.10811751196025676,leftright
27,1488983701919,-0.1816452312488058,-0.31023549404033257,-0.9465695821603713,-0.9356264418317809,-0.32817122625639333,-0.02331409918975524,leftright
28,1488983701969,-0.12717901422043904,-0.19286972597327318,-0.8665656744740041,-0.846576617624046,-0.2993606926629864,-0.16097548114577478,leftright
29,1488983702019,-0.18934719218116658,-0.11108368783829947,-0.6834845441275604,-0.6562995376357372,-0.2874661808026374,-0.30783201651235387,leftright
30,1488983702069,-0.1835956993258868,-0.03530520015859967,-0.41882995706748566,-0.3916807229191774,-0.2765050498186779,-0.18016090433755216,leftright
31,1488983702119,-0.00324352633488837,0.1337702293702403,-0.10762964367192968,-0.08445858439394441,-0.21969812198962754,-0.030963623351357494,leftright
32,1488983702170,0.06473911332393048,0.2500969186463879,0.21632752366325475,0.23025367346999628,-0.07791579703953129,0.033942545845581124,leftright
33,1488983702219,0.19616019627927475,0.3176720110574027,0.5166854406440361,0.5217636992288227,0.15412988393730104,0.05370902302188504,leftright
34,1488983702269,0.2622817542199605,0.3200269024227187,0.7566821293764473,0.7602963691607397,0.4437829782433703,0.18117559641168482,leftright
35,1488983702319,0.308300078155342,0.35868491644625633,0.9057075246442386,0.9061460240254607,0.6544391071485134,0.2774180909720929,leftright
36,1488983702369,0.320330554542017,0.323855000568407,0.9385836536572232,0.9350457948541431,0.6958315238222458,0.2912135468835272,leftright
